小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	135	-5.0197	-90.002	146.51	580	9.8309e-002
0	129	-7.53	-90.002	149.49	580	9.8889e-002
0	149	-2.2115	-90.002	150.32	580	0.1068
1	55	-22.885	-90.002	100.04	647	1.3184e-002
1	63	-21.217	-90.002	102.2	647	1.8346e-002
1	37	-25.28	-90.002	103.92	647	1.4254e-002
1	39	-25.257	-90.002	101.82	647	1.1724e-002
2	21	-27.703	-90.002	101.55	647	7.6733e-003
2	44	-24.757	-90.002	97.566	647	7.3418e-003
2	55	-22.885	-90.002	100.04	647	1.3184e-002
2	39	-25.257	-90.002	101.82	647	1.1724e-002
3	37	-25.28	-90.002	103.92	647	1.4254e-002
3	10	-30.011	-90.002	105.94	647	9.6175e-003
3	21	-27.703	-90.002	101.55	647	7.6733e-003
3	39	-25.257	-90.002	101.82	647	1.1724e-002
4	32	-26.312	-90.002	123.11	656	3.7556e-002
4	14	-29.112	-90.002	125.85	656	3.7068e-002
4	8	-30.546	-90.002	123.5	656	3.1735e-002
4	12	-29.622	-90.002	120.92	656	2.9662e-002
5	4	-31.893	-90.002	128.58	656	3.6577e-002
5	14	-29.112	-90.002	125.85	656	3.7068e-002
5	8	-30.546	-90.002	123.5	656	3.1735e-002
5	2	-32.767	-90.002	123.7	656	2.8677e-002
6	2	-32.767	-90.002	123.7	656	2.8677e-002
6	0	-32.887	-90.002	118.75	656	2.1884e-002
6	12	-29.622	-90.002	120.92	656	2.9662e-002
6	8	-30.546	-90.002	123.5	656	3.1735e-002
7	165	2.7109	-90.002	153.59	662	0.1172
7	169	3.6719	-90.002	154.9	662	0.1201
7	163	2.0246	-90.002	154.99	662	0.11816
8	48	-23.809	-90.002	110.63	699	2.4787e-002
8	18	-27.981	-90.002	114.05	699	2.3009e-002
8	23	-27.343	-90.002	116.6	699	2.7296e-002
8	40	-25.213	-90.002	116.27	699	3.0038e-002
9	5	-31.752	-90.002	117.17	699	2.1478e-002
9	18	-27.981	-90.002	114.05	699	2.3009e-002
9	23	-27.343	-90.002	116.6	699	2.7296e-002
9	17	-28.584	-90.002	119.37	699	2.9127e-002
10	36	-25.373	-90.002	121.58	699	3.6896e-002
10	40	-25.213	-90.002	116.27	699	3.0038e-002
10	23	-27.343	-90.002	116.6	699	2.7296e-002
10	17	-28.584	-90.002	119.37	699	2.9127e-002
11	310	35.46	-90.002	116.52	839	0.1148
11	314	36.682	-90.002	115.48	839	0.11534
11	315	36.909	-90.002	117.12	839	0.11733
12	129	-7.53	-90.002	149.49	876	9.8889e-002
12	135	-5.0197	-90.002	146.51	876	9.8309e-002
12	130	-6.6575	-90.002	146.08	876	9.5644e-002
13	66	-21.126	-90.002	134.77	880	6.1011e-002
13	59	-22.444	-90.002	134.49	880	5.8694e-002
13	60	-22.067	-90.002	133.15	880	5.7481e-002
14	196	12.174	-90.002	92.983	911	5.8516e-002
14	191	10.051	-90.002	89.339	911	5.13e-002
14	189	9.2434	-90.002	90.571	911	5.1545e-002
14	194	11.136	-90.002	94.105	911	5.8319e-002
15	185	7.8012	-90.002	85.484	911	4.3521e-002
15	191	10.051	-90.002	89.339	911	5.13e-002
