小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	256	-2.9777	-120.	149.89	577	0.10342
0	268	-1.0913	-120.	151.9	577	0.10396
0	252	-3.9312	-120.	151.58	577	0.10383
1	288	1.8045	-120.	154.98	577	0.10525
1	267	-1.1343	-120.	154.83	577	0.10495
1	276	-0.11815	-120.	152.95	577	0.10433
2	243	-5.3928	-120.	154.18	577	0.10437
2	248	-4.4252	-120.	152.47	577	0.10403
2	259	-2.4941	-120.	154.68	577	0.10478
3	261	-2.1991	-120.	153.07	577	0.10429
3	252	-3.9312	-120.	151.58	577	0.10383
3	268	-1.0913	-120.	151.9	577	0.10396
4	261	-2.1991	-120.	153.07	577	0.10429
4	268	-1.0913	-120.	151.9	577	0.10396
4	276	-0.11815	-120.	152.95	577	0.10433
5	261	-2.1991	-120.	153.07	577	0.10429
5	276	-0.11815	-120.	152.95	577	0.10433
5	267	-1.1343	-120.	154.83	577	0.10495
6	261	-2.1991	-120.	153.07	577	0.10429
6	267	-1.1343	-120.	154.83	577	0.10495
6	259	-2.4941	-120.	154.68	577	0.10478
7	261	-2.1991	-120.	153.07	577	0.10429
7	259	-2.4941	-120.	154.68	577	0.10478
7	248	-4.4252	-120.	152.47	577	0.10403
8	261	-2.1991	-120.	153.07	577	0.10429
8	248	-4.4252	-120.	152.47	577	0.10403
8	252	-3.9312	-120.	151.58	577	0.10383
9	526	31.866	-120.	131.46	610	9.6135e-002
9	510	30.864	-120.	134.14	610	9.6258e-002
9	479	29.242	-120.	133.19	610	9.6163e-002
10	564	34.544	-120.	132.9	610	9.6219e-002
10	550	33.344	-120.	135.59	610	9.6479e-002
10	522	31.71	-120.	134.63	610	9.6323e-002
11	541	32.873	-120.	132.56	610	9.6172e-002
11	564	34.544	-120.	132.9	610	9.6219e-002
11	522	31.71	-120.	134.63	610	9.6323e-002
12	541	32.873	-120.	132.56	610	9.6172e-002
12	522	31.71	-120.	134.63	610	9.6323e-002
12	510	30.864	-120.	134.14	610	9.6258e-002
13	541	32.873	-120.	132.56	610	9.6172e-002
13	510	30.864	-120.	134.14	610	9.6258e-002
13	526	31.866	-120.	131.46	610	9.6135e-002
