小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	189	-9.1749	-60.002	91.643	573	2.1602e-002
0	203	-5.7331	-60.002	93.646	573	2.9985e-002
0	194	-8.2301	-60.002	94.492	573	2.6467e-002
1	382	23.987	-60.002	136.51	597	0.11966
1	383	24.097	-60.002	137.37	597	0.12068
1	378	23.626	-60.002	137.03	597	0.11982
2	362	21.427	-60.002	139.49	597	0.12008
2	378	23.626	-60.002	137.03	597	0.11982
2	383	24.097	-60.002	137.37	597	0.12068
2	385	24.368	-60.002	140.74	597	0.12458
3	137	-17.774	-60.002	144.12	611	8.0029e-002
3	138	-17.688	-60.002	143.98	611	7.9927e-002
3	136	-17.966	-60.002	143.93	611	7.9511e-002
4	114	-20.441	-60.002	144.6	611	7.7534e-002
4	137	-17.774	-60.002	144.12	611	8.0029e-002
4	136	-17.966	-60.002	143.93	611	7.9511e-002
5	114	-20.441	-60.002	144.6	611	7.7534e-002
5	136	-17.966	-60.002	143.93	611	7.9511e-002
5	92	-22.932	-60.002	142.97	611	7.1836e-002
6	114	-20.441	-60.002	144.6	611	7.7534e-002
6	92	-22.932	-60.002	142.97	611	7.1836e-002
6	89	-23.386	-60.002	144.02	611	7.2883e-002
7	114	-20.441	-60.002	144.6	611	7.7534e-002
7	89	-23.386	-60.002	144.02	611	7.2883e-002
7	110	-21.274	-60.002	146.07	611	7.8792e-002
8	114	-20.441	-60.002	144.6	611	7.7534e-002
8	110	-21.274	-60.002	146.07	611	7.8792e-002
8	128	-19.315	-60.002	146.49	611	8.1858e-002
9	114	-20.441	-60.002	144.6	611	7.7534e-002
9	128	-19.315	-60.002	146.49	611	8.1858e-002
9	137	-17.774	-60.002	144.12	611	8.0029e-002
10	89	-23.386	-60.002	144.02	611	7.2883e-002
10	92	-22.932	-60.002	142.97	611	7.1836e-002
10	77	-24.656	-60.002	142.62	611	6.9014e-002
11	110	-21.274	-60.002	146.07	611	7.8792e-002
11	120	-19.84	-60.002	147.3	611	8.2488e-002
11	128	-19.315	-60.002	146.49	611	8.1858e-002
12	260	6.6526	-60.002	147.08	613	0.11286
12	264	7.0831	-60.002	147.03	613	0.11329
12	265	7.1368	-60.002	147.37	613	0.11379
13	290	10.85	-60.002	149.26	613	0.12024
13	295	11.279	-60.002	145.9	613	0.11649
13	264	7.0831	-60.002	147.03	613	0.11329
13	265	7.1368	-60.002	147.37	613	0.11379
14	481	33.471	-60.002	120.3	626	0.11277
14	462	31.738	-60.002	118.18	626	0.10869
14	460	31.64	-60.002	121.73	626	0.11221
15	481	33.471	-60.002	120.3	626	0.11277
15	460	31.64	-60.002	121.73	626	0.11221
15	485	33.658	-60.002	122.76	626	0.11547
16	481	33.471	-60.002	120.3	626	0.11277
16	485	33.658	-60.002	122.76	626	0.11547
16	497	34.994	-60.002	120.83	626	0.11499
17	481	33.471	-60.002	120.3	626	0.11277
17	497	34.994	-60.002	120.83	626	0.11499
17	498	35.008	-60.002	120.34	626	0.11451
18	481	33.471	-60.002	120.3	626	0.11277
18	498	35.008	-60.002	120.34	626	0.11451
18	488	33.791	-60.002	117.95	626	0.11077
19	481	33.471	-60.002	120.3	626	0.11277
19	488	33.791	-60.002	117.95	626	0.11077
19	462	31.738	-60.002	118.18	626	0.10869
20	504	36.918	-60.002	122.44	626	0.11869
20	506	36.999	-60.002	119.49	626	0.11587
20	498	35.008	-60.002	120.34	626	0.11451
20	497	34.994	-60.002	120.83	626	0.11499
21	503	36.749	-60.002	124.32	626	0.12038
21	485	33.658	-60.002	122.76	626	0.11547
21	497	34.994	-60.002	120.83	626	0.11499
21	504	36.918	-60.002	122.44	626	0.11869
22	505	36.934	-60.002	117.6	626	0.11395
22	488	33.791	-60.002	117.95	626	0.11077
22	498	35.008	-60.002	120.34	626	0.11451
22	506	36.999	-60.002	119.49	626	0.11587
23	452	31.053	-60.002	129.29	651	0.11949
23	464	31.83	-60.002	131.25	651	0.12231
23	471	32.59	-60.002	129.22	651	0.12099
24	480	33.466	-60.002	135.36	651	0.12824
24	491	34.237	-60.002	133.63	651	0.12724
24	476	32.779	-60.002	133.6	651	0.12573
25	501	35.822	-60.002	129.06	651	0.12418
25	493	34.453	-60.002	129.13	651	0.12283
25	499	35.27	-60.002	130.87	651	0.12546
26	482	33.527	-60.002	131.28	651	0.12409
26	471	32.59	-60.002	129.22	651	0.12099
26	464	31.83	-60.002	131.25	651	0.12231
27	482	33.527	-60.002	131.28	651	0.12409
27	464	31.83	-60.002	131.25	651	0.12231
27	476	32.779	-60.002	133.6	651	0.12573
28	482	33.527	-60.002	131.28	651	0.12409
28	476	32.779	-60.002	133.6	651	0.12573
28	491	34.237	-60.002	133.63	651	0.12724
29	482	33.527	-60.002	131.28	651	0.12409
29	491	34.237	-60.002	133.63	651	0.12724
29	499	35.27	-60.002	130.87	651	0.12546
30	482	33.527	-60.002	131.28	651	0.12409
30	499	35.27	-60.002	130.87	651	0.12546
30	493	34.453	-60.002	129.13	651	0.12283
31	482	33.527	-60.002	131.28	651	0.12409
31	493	34.453	-60.002	129.13	651	0.12283
31	471	32.59	-60.002	129.22	651	0.12099
32	323	15.77	-60.002	91.756	655	6.2246e-002
32	327	16.622	-60.002	94.271	655	6.573e-002
32	309	13.651	-60.002	92.87	655	6.0128e-002
33	323	15.77	-60.002	91.756	655	6.2246e-002
33	309	13.651	-60.002	92.87	655	6.0128e-002
33	314	14.202	-60.002	90.104	655	5.8468e-002
34	323	15.77	-60.002	91.756	655	6.2246e-002
34	314	14.202	-60.002	90.104	655	5.8468e-002
34	319	14.654	-60.002	90.028	655	5.907e-002
35	323	15.77	-60.002	91.756	655	6.2246e-002
35	319	14.654	-60.002	90.028	655	5.907e-002
35	330	17.608	-60.002	91.422	655	6.4613e-002
36	323	15.77	-60.002	91.756	655	6.2246e-002
36	330	17.608	-60.002	91.422	655	6.4613e-002
36	332	17.883	-60.002	91.841	655	6.5376e-002
37	323	15.77	-60.002	91.756	655	6.2246e-002
37	332	17.883	-60.002	91.841	655	6.5376e-002
37	327	16.622	-60.002	94.271	655	6.573e-002
38	326	16.445	-60.002	89.822	655	6.1522e-002
38	342	19.114	-60.002	89.47	655	6.5064e-002
38	320	14.741	-60.002	87.406	655	5.6898e-002
39	326	16.445	-60.002	89.822	655	6.1522e-002
39	320	14.741	-60.002	87.406	655	5.6898e-002
39	315	14.345	-60.002	89.393	655	5.8051e-002
40	326	16.445	-60.002	89.822	655	6.1522e-002
40	315	14.345	-60.002	89.393	655	5.8051e-002
40	319	14.654	-60.002	90.028	655	5.907e-002
41	326	16.445	-60.002	89.822	655	6.1522e-002
41	319	14.654	-60.002	90.028	655	5.907e-002
41	330	17.608	-60.002	91.422	655	6.4613e-002
42	326	16.445	-60.002	89.822	655	6.1522e-002
42	330	17.608	-60.002	91.422	655	6.4613e-002
42	336	18.208	-60.002	91.216	655	6.5291e-002
43	326	16.445	-60.002	89.822	655	6.1522e-002
43	336	18.208	-60.002	91.216	655	6.5291e-002
43	342	19.114	-60.002	89.47	655	6.5064e-002
44	319	14.654	-60.002	90.028	655	5.907e-002
44	314	14.202	-60.002	90.104	655	5.8468e-002
44	315	14.345	-60.002	89.393	655	5.8051e-002
45	330	17.608	-60.002	91.422	655	6.4613e-002
45	336	18.208	-60.002	91.216	655	6.5291e-002
45	332	17.883	-60.002	91.841	655	6.5376e-002
46	178	-11.013	-60.002	95.801	657	2.2983e-002
46	189	-9.1749	-60.002	91.643	657	2.1602e-002
46	194	-8.2301	-60.002	94.492	657	2.6467e-002
47	328	16.853	-60.002	145.98	676	0.12256
47	353	20.472	-60.002	145.25	676	0.1255
47	351	20.327	-60.002	144.98	676	0.12504
48	328	16.853	-60.002	145.98	676	0.12256
48	351	20.327	-60.002	144.98	676	0.12504
48	318	14.487	-60.002	144.8	676	0.11865
49	328	16.853	-60.002	145.98	676	0.12256
49	318	14.487	-60.002	144.8	676	0.11865
49	313	14.098	-60.002	145.04	676	0.11852
50	328	16.853	-60.002	145.98	676	0.12256
50	313	14.098	-60.002	145.04	676	0.11852
50	321	15.607	-60.002	147.88	676	0.12353
51	328	16.853	-60.002	145.98	676	0.12256
51	321	15.607	-60.002	147.88	676	0.12353
51	325	16.127	-60.002	147.92	676	0.12412
52	328	16.853	-60.002	145.98	676	0.12256
52	325	16.127	-60.002	147.92	676	0.12412
52	353	20.472	-60.002	145.25	676	0.1255
53	313	14.098	-60.002	145.04	676	0.11852
53	318	14.487	-60.002	144.8	676	0.11865
53	312	13.96	-60.002	144.77	676	0.11807
54	353	20.472	-60.002	145.25	676	0.1255
54	360	20.835	-60.002	145.	676	0.12559
54	351	20.327	-60.002	144.98	676	0.12504
55	325	16.127	-60.002	147.92	676	0.12412
55	321	15.607	-60.002	147.88	676	0.12353
55	322	15.739	-60.002	148.13	676	0.12397
56	235	0.89041	-60.002	92.546	688	4.0175e-002
56	238	1.794	-60.002	89.626	688	3.8716e-002
56	252	5.0726	-60.002	92.698	688	4.7084e-002
57	182	-10.649	-60.002	149.24	697	9.6195e-002
57	184	-10.607	-60.002	151.52	697	9.9689e-002
57	166	-12.907	-60.002	147.44	697	9.0865e-002
58	175	-11.265	-60.002	147.22	697	9.2422e-002
58	190	-8.9193	-60.002	147.98	697	9.6328e-002
58	179	-10.813	-60.002	144.21	697	8.8462e-002
59	175	-11.265	-60.002	147.22	697	9.2422e-002
59	179	-10.813	-60.002	144.21	697	8.8462e-002
